Map_Id	Map_Label	Parent_id	Parent_Area	NGI_POLYGON_ID	Geo_PolygonID	LOGICAL_GROUPING	MISSING_SHAPE_FILE	Level	Old ΧΕ Area ID
58	Αθήνα & Προάστια	56	Νομός Αττικής		801			2	NO
65	Ανατολική Θεσσαλονίκη	48	Ν. Θεσσαλονίκης		2402			2	NO
60	Βόρεια & Ανατολικά Προάστια	56	Νομός Αττικής		804			2	NO
67	Δυτική Θεσσαλονίκη	48	Ν. Θεσσαλονίκης		2403			2	NO
98	Ηπειρος				L98	Yes		1	NO
97	Θεσσαλία				L97	Yes		1	NO
96	Θράκη				L96	Yes		1	NO
62	Κεντρικά & Δυτικά Προάστια 	56	Νομός Αττικής		806			2	NO
61	Κεντρικά & Νότια Προάστια	56	Νομός Αττικής		805			2	NO
66	Κεντρική Θεσσαλονίκη	48	Ν. Θεσσαλονίκης		2401			2	NO
59	Κέντρο Αθήνας	56	Νομός Αττικής		803			2	NO
95	Κρήτη				L95	Yes		1	NO
94	Μακεδονία				L94	Yes		1	NO
91	Νησιά Βορείων Σποράδων				L91	Yes		1	NO
99	Νησιά Ιονίου				L99	Yes		1	NO
63	Πειραιάς	56	Νομός Αττικής		807			2	NO
89	Πελοπόννησος				L89	Yes		1	NO
68	Περίχωρα Θεσσαλονίκης	48	Ν. Θεσσαλονίκης		2404			2	NO
88	Στερεά Ελλάδα				L88	Yes		1	NO
69	Υπόλοιπο Ν. Θεσσαλονίκης	48	Ν. Θεσσαλονίκης				M69	2	NO
64	Υπόλοιπο Πειραιά	56	Νομός Αττικής		808			2	NO
160	Aλόννησος	91	 Νησιά Βορείων Σποράδων	4305000				2	865
59-40	Α΄ Νεκροταφείο	59	 Κέντρο Αθήνας		40			3	129
165-160	Α.Σ.ΠΑΙ.Τ.Ε.	165	Μαρούσι		160			4	215
1005	Αγαθονήσι	50	Δωδεκάνησα	8161000				2	810
113-29	Αγία Άννα	113	Άγιος Ιωάννης Ρέντη 		29			4	601
258-201	Αγία Άννα	258	Αχαρνές (Μενίδι)		201			4	405
980-515	Αγία Άννα	980	Χαλάνδρι		515			4	225
754-675	Αγιά Βαρβάρα	754	Παλαιό Φάληρο 		675			4	318
980-507	Αγία Βαρβάρα	980	Χαλάνδρι		507			4	225
106	Αγία Βαρβάρα 	62	 Κεντρικά & Δυτικά Προάστια 	9902000				3	401
978-496	Αγία Γρηγορούσα	978	Χαϊδάρι		496			4	417
